manuscript_domain,source,exists
Primary point estimates,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/02_revision_point/low_high_fdfle_gaps.csv,TRUE
Binding focused uncertainty,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/04_lowedu_inference/bootstrap_percentile_ci_summary.csv,TRUE
Primary education uncertainty,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/04_primary_education_inference/bootstrap_percentile_ci_summary.csv,TRUE
Primary wealth uncertainty,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/04_primary_wealth_inference/bootstrap_percentile_ci_summary.csv,TRUE
ADL-only uncertainty,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/04_lowedu_inference_adl_only/bootstrap_percentile_ci_summary.csv,TRUE
At-least-two uncertainty,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/04_lowedu_inference_at_least_two/bootstrap_percentile_ci_summary.csv,TRUE
Functional construct mapping,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/13_data_dictionary/functional_item_mapping_by_cohort_wave.csv,TRUE
Sample flow and missingness,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/06_flow_missingness_support/sample_flow_by_module_v1_1.csv,TRUE
Focused baseline and support,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/11_focused_baseline_support/focused_loweducation_wealth_transition_support.csv,TRUE
Continuous-time panel model,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/07_continuous_time_panel_msm,TRUE
Confirmed states,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/05_confirmed_state_sensitivity/confirmed_state_cluster_robust_estimates.csv,TRUE
Enriched covariates,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/08_enriched_covariate_sensitivity,TRUE
Non-death IPCW,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/09_nondeath_observation_ipcw,TRUE
Internal TLE calibration,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/10_internal_survival_calibration/model_vs_weighted_km_tle_calibration.csv,TRUE
Wealth timing and interval audit,${RECOVERY_DIVIDE_ROOT}/09_manuscript_bmc_medicine_v1/revision_round_1/03_outputs/01_revision_risksets/wealth_measurement_timing_audit.csv,TRUE
