cohort,wave,domain,canonical_item,canonical_token,source_variable,source_label,source_layer,independent_code,difficulty_code,missing_rule
CHARLS,1,ADL,Bathing or showering,batha,r1batha,"r1batha:w1 r Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,ADL,Dressing,dressa,r1dressa,r1dressa:w1 r Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,ADL,Eating,eata,r1eata,r1eata:w1 r Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,ADL,Getting in or out of bed,beda,r1beda,r1beda:w1 r Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,ADL,Using the toilet,toilta,r1toilta,r1toilta:w1 r Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,IADL,Managing money,moneya,r1moneya,r1moneya:w1 r Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,IADL,Preparing a hot meal,mealsa,r1mealsa,r1mealsa:w1 r Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,IADL,Shopping for groceries,shopa,r1shopa,r1shopa:w1 r Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,1,IADL,Taking medications,medsa,r1medsa,r1medsa:w1 r Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,ADL,Bathing or showering,batha,r2batha,"r2batha:w2 r Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,ADL,Dressing,dressa,r2dressa,r2dressa:w2 r Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,ADL,Eating,eata,r2eata,r2eata:w2 r Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,ADL,Getting in or out of bed,beda,r2beda,r2beda:w2 r Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,ADL,Using the toilet,toilta,r2toilta,r2toilta:w2 r Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,IADL,Managing money,moneya,r2moneya,r2moneya:w2 r Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,IADL,Preparing a hot meal,mealsa,r2mealsa,r2mealsa:w2 r Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,IADL,Shopping for groceries,shopa,r2shopa,r2shopa:w2 r Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,2,IADL,Taking medications,medsa,r2medsa,r2medsa:w2 r Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,ADL,Bathing or showering,batha,r3batha,"r3batha:w3 r Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,ADL,Dressing,dressa,r3dressa,r3dressa:w3 r Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,ADL,Eating,eata,r3eata,r3eata:w3 r Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,ADL,Getting in or out of bed,beda,r3beda,r3beda:w3 r Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,ADL,Using the toilet,toilta,r3toilta,r3toilta:w3 r Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,IADL,Managing money,moneya,r3moneya,r3moneya:w3 r Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,IADL,Preparing a hot meal,mealsa,r3mealsa,r3mealsa:w3 r Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
