cohort,role,concept,variable,label
CHARLS,core,adl_count,r1adlfive,r1adlfive:w1 r Some Diff-5 item ADL scale
CHARLS,core,adl_count,r2adlfive,r2adlfive:w2 r Some Diff-5 item ADL scale
CHARLS,core,adl_count,r3adlfive,r3adlfive:w3 r Some Diff-5 item ADL scale
CHARLS,core,adl_count,r4adlfive,r4adlfive:w4 r Some Diff-5 item ADL scale
CHARLS,core,adl_item,r1batha,"r1batha:w1 r Some Diff-Bathing, shower"
CHARLS,core,adl_item,r1beda,r1beda:w1 r Some Diff-Get in/out bed
CHARLS,core,adl_item,r1dressa,r1dressa:w1 r Some Diff-Dressing
CHARLS,core,adl_item,r1eata,r1eata:w1 r Some Diff-Eating
CHARLS,core,adl_item,r1toilta,r1toilta:w1 r Some Diff-Using the toilet
CHARLS,core,adl_item,r2batha,"r2batha:w2 r Some Diff-Bathing, shower"
CHARLS,core,adl_item,r2beda,r2beda:w2 r Some Diff-Get in/out bed
CHARLS,core,adl_item,r2dressa,r2dressa:w2 r Some Diff-Dressing
CHARLS,core,adl_item,r2eata,r2eata:w2 r Some Diff-Eating
CHARLS,core,adl_item,r2toilta,r2toilta:w2 r Some Diff-Using the toilet
CHARLS,core,adl_item,r3batha,"r3batha:w3 r Some Diff-Bathing, shower"
CHARLS,core,adl_item,r3beda,r3beda:w3 r Some Diff-Get in/out bed
CHARLS,core,adl_item,r3dressa,r3dressa:w3 r Some Diff-Dressing
CHARLS,core,adl_item,r3eata,r3eata:w3 r Some Diff-Eating
CHARLS,core,adl_item,r3toilta,r3toilta:w3 r Some Diff-Using the toilet
CHARLS,core,adl_item,r4batha,"r4batha:w4 r Some Diff-Bathing, shower"
CHARLS,core,adl_item,r4beda,r4beda:w4 r Some Diff-Get in/out bed
CHARLS,core,adl_item,r4dressa,r4dressa:w4 r Some Diff-Dressing
CHARLS,core,adl_item,r4eata,r4eata:w4 r Some Diff-Eating
CHARLS,core,adl_item,r4toilta,r4toilta:w4 r Some Diff-Using the toilet
CHARLS,core,age,r1agey,r1agey:w1 r age in years
CHARLS,core,age,r2agey,r2agey:w2 r age in years
CHARLS,core,age,r3agey,r3agey:w3 r age in years
CHARLS,core,age,r4agey,r4agey:w4 r age in years
CHARLS,core,age,s1agey,s1agey:w1 s age in years
CHARLS,core,age,s2agey,s2agey:w2 s age in years
CHARLS,core,age,s3agey,s3agey:w3 s age in years
CHARLS,core,age,s4agey,s4agey:w4 s age in years
CHARLS,core,death,h1dchild,h1dchild:w1 total number of deceased children
CHARLS,core,death,h1ddau,h1ddau:w1 number of deceased daughters
CHARLS,core,death,h1dson,h1dson:w1 number of deceased sons
CHARLS,core,death,h2dchild,h2dchild:w2 total number of deceased children
CHARLS,core,death,h2ddau,h2ddau:w2 number of deceased daughters
CHARLS,core,death,h2dson,h2dson:w2 number of deceased sons
CHARLS,core,death,h3dchild,h3dchild:w3 total number of deceased children
CHARLS,core,death,h3ddau,h3ddau:w3 number of deceased daughters
CHARLS,core,death,h3dson,h3dson:w3 number of deceased sons
CHARLS,core,death,h4dchild,h4dchild:w4 total number of deceased children
CHARLS,core,death,h4ddau,h4ddau:w4 number of deceased daughters
CHARLS,core,death,h4dson,h4dson:w4 number of deceased sons
